CR_WARRANTOR_IDENTIFIER|CR_WARRANTY_NUMBER|CR_NJ_BUILDERS_REG_NUMBER|CR_WARRANTY_START_DTE|CR_COMUN_CODE|CR_BUILDING_STREET_NAME|CR_BUILDING_STREET_NUMBER|CR_BUILDING_CITY|CR_SALE_PRICE|CR_BUILDING_TYPE|CR_CONSTRUCTION_TYPE|CR_STORIES|CR_OWNER_TYPE|CR_BLOCK_NUMBER|CR_LOT_NUMBER|COMPANY_NAME
HBW|NJ119207|43543|20140227|1213|MORGAN WAY|31|MONROE TOWNSHIP|339900|105|C|0||1|14.11|STRATFORD MEADOWS LLC
HBW|NJ118656|43779|20131219|909|#2 KIESEWETTER LANE|6|SECAUCUS|546000|103|C|0||2.02|193|SECAUCUS COMMONS LLC
HBW|NJ119109|44801|20131227|912|W BROADWAY UNIT 1|717|WEST CAPE|454000|102|C|0||21|47|SLM FINANCIAL CORP.
HBW|NJ119214|44887|20150320|1813|GALWAY ROAD|3|SKILLMAN|845000|101|C|0||31|16003|EAST COUNTRY DEVELOPMENT ASSOCIATES LLC
HBW|NJ118939|45564|20140127|1514|CHARMING WAY|32|LAKEWOOD|225000|102|C|0||18.16|534|NEXGEN BUILDERS LLC
NHW|200633|27881|20131029|1022|U.S. HIGHWAY 22 WEST|379|WHITE HOUSE STATION|310000|101|C|2|N|18|10|VICTORIAN VENTURES INC
NHW|200626|40221|20131115|219|RIVER DALE DRIVE|239|FORT LEE|562500|101|C|2|N|3152|28|GPC HOMES LLC
HBW|NJ089613|32382|20141222|1021|SAMSON DRIVE|107|FLEMINGTON|300000|105|C|0||3|72|RARITAN VALLEY DEVELOPERS INC
NHW|200891|45672|20131227|245|WEST EDSALL BOULEVARD UNIT-A|96|PALISADES PARK|690000|103|C|2|C|205|23|96 W EDSALL BLVD LLC
HBW|NJ120148|3615|20140812|507|CENTRAL AVE|109|NORTH WILDWOOD|670000|101|C|0||1|250|SKIP HOLTZAPFEL BUILDERS INC
HBW|NJ119859|14066|20150316|1820|OLD STIRLING RD|28|WARREN|830000|101|C|0||15|93|HAWKEYE DEVELOPMENT CO
HBW|NJ120477|33271|20140925|1530|Paul|1279|Manahawkin|300000|101|C|0||428|159.04|BUCCHINO GENERAL CONTRACTING LLC
NHW|198391|9593|20120606|1608|HARRISON STREET|210|PATERSON|150000|102|C|3|N|D0587|2|PATERSON HABITAT FOR HUMANITY
NHW|198394|9593|20121215|1608|HARRISON STREET|214|PATERSON|150000|102|C|3|N|D0587|2|PATERSON HABITAT FOR HUMANITY
HBW|NJ118404|45014|20150105|501|EAST 17TH STREET|93|AVALON|7000000|101|C|0||16.01|17.01 & 1|BUILDERS INC
HBW|NJ118468|45145|20140718|1326|WALDEN CT|8|MANALAPAN|740000|101|C|0||8|8706|TYLER NINE LLC
HBW|NJ119340|41349|20140327|803|Forage Drive|57|Mickleton|392429|101|C|0||3.43|1001|BRUCE PAPARONE COMMUNITIES, INC.
HBW|NJ120221|46046|20150227|112|BREWSTER DR|26|MAYS LANDING|245000|101|C|0||13|1132.33|TAROLA LLC
NHW|201568|28709|20141028|508|PINNACLE ROAD|107|OCEAN CITY|475000|101|C|3|N|70.32|1.05|DENNIS J ARISTONE DEVELOPMENT LLC
HBW|NJ122536|43465|20150323|1514|Finchley Boulevard|87|Lakewood|214000|101|C|0||39|430|ASHLEY MANAGEMENT & DEVELOPMENT LLC
HBW|NJ121999|43516|20150122|909|VILLAGE PLACE UNIT 11|23|SECAUCUS|647000|102|C|0||16|191|M & M BUILDERS LLC
HBW|NJ122000|43516|20150204|909|VILLAGE PLACE UNIT 12|23|SECAUCUS|660000|102|C|0||16|191|M & M BUILDERS LLC
HBW|NJ122001|43516|20150123|909|VILLAGE PLACE UNIT 18|23|SECAUCUS|594000|102|C|0||16|191|M & M BUILDERS LLC
HBW|NJ122002|43516|20150109|909|VILLAGE PLACE UNIT 20|23|SECAUCUS|559000|102|C|0||16|191|M & M BUILDERS LLC
HBW|NJ122004|43516|20150130|909|VILLAGE PLACE UNIT 23|23|SECAUCUS|594000|102|C|0||16|191|M & M BUILDERS LLC
HBW|NJ122006|43516|20150210|909|VILLAGE PLACE UNIT 25|23|SECAUCUS|659000|102|C|0||16|191|M & M BUILDERS LLC
HBW|NJ122005|43516|20150204|909|VILLAGE PLACE UNIT 24|23|SECAUCUS|595000|102|C|0||16|191|M & M BUILDERS LLC
HBW|NJ122003|43516|20150123|909|VILLAGE PLACE UNIT 22|23|SECAUCUS|591000|102|C|0||16|191|M & M BUILDERS LLC
HBW|NJ122271|43543|20150227|1213|MORGAN WAY|90|MONROE TOWNSHIP|379900|105|C|0||59|14.13|STRATFORD MEADOWS LLC
HBW|NJ122273|43543|20150227|1213|MORGAN WAY|94|MONROE TOWNSHIP|364900|105|C|0||59|14.13|STRATFORD MEADOWS LLC
HBW|NJ122274|43543|20150227|1213|MORGAN WAY|96|MONROE TOWNSHIP|379900|105|C|0||59|14.13|STRATFORD MEADOWS LLC
HBW|NJ122272|43543|20150227|1213|MORGAN WAY|92|MONROE TOWNSHIP|364900|105|C|0||59|14.13|STRATFORD MEADOWS LLC
HBW|NJ122138|43587|20150126|1514|Eagle Ridge Circle|55|Lakewood|389000|101|C|0||28|524.33|MASTERS @ THE FAIRWAYS LLC
HBW|NJ122438|43615|20150403|307|Adelphia Drive (#220)|107|Chesterfield|449000|101|C|0||3|107.08|HERITAGE AT CHESTERFIELD SF HOMES  LLC
HBW|NJ122241|43615|20150317|307|PRESERVATION BLVD. (#312)|146|CHESTERFIELD|517741|101|C|0||4|107.18|HERITAGE AT CHESTERFIELD SF HOMES  LLC
HBW|NJ122229|43615|20150227|307|Preservation Blvd (#301)|147|Chesterfield|416637|101|C|0||14|107.17|HERITAGE AT CHESTERFIELD SF HOMES  LLC
HBW|NJ122010|43638|20150119|206|West End Ave|777|Cliffside Park|610000|103|C|0||3|3201|LUPPINO DEVELOPERS LLC
HBW|NJ122481|43638|20150316|206|West End Ave|779|Cliffside Park|605000|103|C|0||3|3201|LUPPINO DEVELOPERS LLC
HBW|NJ122318|43685|20150304|508|CENTRAL AVE|4806|OCEAN CITY|550000|103|C|0||15|4802|JWR PROPERTIES LLC
HBW|NJ122431|43685|20150402|508|WEST AVE|5807|OCEAN CITY|534000|103|C|0||11.01, C-|5803|JWR PROPERTIES LLC
HBW|NJ122486|43685|20150410|508|ASBURY AVENUE|3960|OCEAN CITY|520000|103|C|0||31, C-1|3903|JWR PROPERTIES LLC
HBW|NJ122300|43770|20150223|2003|Hale Street|16|Cranford|480000|102|C|0||12.08|534|H WAXLER CONSTRUCTION LLC
HBW|NJ122301|43770|20150223|2003|Hale Street|20|Cranford|469000|102|C|0||12.10|534|H WAXLER CONSTRUCTION LLC
HBW|NJ122543|43928|20150415|712|Addison Drive|7|Short Hills|2550000|101|C|0||52|3503|GRAND DREAMS LLC
HBW|NJ121964|43989|20150114|313|Georgia O'Keefe Way|44|Marlton|724982|101|C|0||89.07|59|WARWICK DEVELOPMENT LLC
HBW|NJ122226|43989|20150220|313|GRANT WOOD WAY|24|MARLTON|576087|101|C|0||89.07|39|WARWICK DEVELOPMENT LLC
HBW|NJ122332|43989|20150227|313|Andy Warhol Way|105|Marlton|530000|101|C|0||3|89.07|WARWICK DEVELOPMENT LLC
HBW|NJ122523|44021|20150330|1515|Ocean Ave|1204|Lavallette|2440000|101|C|0||3|13|MGC DEVELOPMENT LLC
HBW|NJ122293|44161|20150227|1349|Wall Road|914|Spring Lake Hieghts|398000|101|C|0||6|63.02|CAPOANO CONTRACTORS INC
HBW|NJ122408|44218|20150310|246|Concord Drive|182|Paramus|975000|101|C|0||9|3801|PRIMA CONSTRUCTION
HBW|NJ122413|44309|20150227|820|Barlow Ave|694|West Deptford|264500|101|C|0||9|192|B & G PROPERTY INVESTMENTS LLC
HBW|NJ122315|44332|20150319|2010|Wyoming Drive|1151|Mountainside|1075000|101|C|0||6|5.L|SELARIO LLC
HBW|NJ122172|44529|20150315|116|S JEFFERSON AVE, UNIT B|16|MARGATE|851000|103|C|0||210|129|LEGACY HOME INVESTMENTS LLC
HBW|NJ122339|44529|20150306|116|S Jefferson Ave, Unit A|16|Margate|745000|103|C|0||210|129|LEGACY HOME INVESTMENTS LLC
HBW|NJ122050|44545|20150130|1507|Cove Road|9|Toms River|230000|101|C|0||306.02|724.02|G W DEVELOPMENT LLC
HBW|NJ122567|44545|20150410|1331|Prospect Avenue|457|Middletown|347900|101|C|0||23.5|50|G W DEVELOPMENT LLC
HBW|NJ121970|44628|20150203|1810|WRAIGHT COURT|1|HILLSBOROUGH|998500|101|C|0||53.14|203.23|COUNTRY CLASSICS @ MONTGOMERY LLC
HBW|NJ122192|44628|20150310|1810|WRAIGHT COURT|8|HILLSBOROUGH|925667|101|C|0||53.20|203.23|COUNTRY CLASSICS @ MONTGOMERY LLC
HBW|NJ122526|44682|20150327|1507|LARCHMONT ST|1401|TOMS RIVER|267000|101|C|0||26|1.280|DOMINIKA & KRZYSZTOF SLIWOWSKI
HBW|NJ122321|44683|20150312|1318|Seminole Drive|5|Holmdel|700000|101|C|0||58|48.02|PELICAN COURT LLC
HBW|NJ122294|44706|20150214|715|SUMMIT DRIVE|27|NORTH CALDWELL|799000|102|C|0||7|2100|HIDDEN RIDGE @ NORTH CALDWELL LLC
HBW|NJ122535|44706|20150327|715|Summit Drive|29|North Caldwell|865000|102|C|0||7|2100|HIDDEN RIDGE @ NORTH CALDWELL LLC
HBW|NJ122519|44742|20150318|510|84th Street|27|Stone Harbor|750000|101|C|0||22.02,24.|84.01|SAMPLES CONSTRUCTION CO LLC
HBW|NJ122314|44783|20130912|901|Ave A|687|Bayonne|189000|105|C|0||37|155|SKYHAIL LLC
HBW|NJ122512|44801|20150401|512|W BROADWAY UNIT 2|717|WEST CAPE MAY|387500|102|C|0||47.01|21|SLM FINANCIAL CORP.
HBW|NJ122494|44808|20150406|1607|Van Houten Ave, Unit 305 (#2305)|435|Passaic|188604|105|C|0||1.01 (1.A|3279|LG VAN HOUTEN LLC
HBW|NJ122445|44808|20150406|1607|Van Houten Ave, Unit 306 (#2306)|435|Passaic|191898|105|C|0||1.01 (1.A|3279|LG VAN HOUTEN LLC
HBW|NJ122366|44808|20150306|1607|Van Houten Ave, Unit 208 (#2208)|435|Passaic|185926|105|C|0||1.01 (1.A|3279|LG VAN HOUTEN LLC
HBW|NJ122365|44808|20150326|1607|Van Houten Ave, Unit 207 (#2207)|435|Passaic|188104|105|C|0||1.01 (1.A|3279|LG VAN HOUTEN LLC
HBW|NJ122361|44808|20150406|1607|Van Houten Ave, Unit 204 (#2204)|435|Passaic|188565|105|C|0||1.01 (1.A|3279|LG VAN HOUTEN LLC
HBW|NJ122356|44808|20150225|1607|Van Houten Ave, Unit 203 (Job2203)|435|Passaic|188923|105|C|0||1.01 (1.A|3279|LG VAN HOUTEN LLC
HBW|NJ122328|44808|20150326|1607|Van Houten Avenue, Unit 201 (#2201)|435|Passaic|188565|105|C|0||1.01 (1.A|3279|LG VAN HOUTEN LLC
HBW|NJ122287|44808|20150410|1607|Van Houten Ave, Unit 104 (#2104)|435|Passaic|167618|105|C|0||1.01 (1.A|3279|LG VAN HOUTEN LLC
HBW|NJ122149|44808|20150213|1607|Van Houten Avenue, Unit 302 (#2302)|435|Passaic|188604|105|C|0||3279|1.A|LG VAN HOUTEN LLC
HBW|NJ122622|44831|20150415|436|Lois Lane|100|Winslow|257450|101|C|0||7.22|5706|HAVEN HOMES BUILDERS LLC
HBW|NJ122429|44831|20150320|103|13 Street North|200|Brigantine|557500|101|C|0||3|102|HAVEN HOMES BUILDERS LLC
HBW|NJ121974|44874|20150114|1204|Matthew Manor|7|East Brunswick|1150000|101|C|0||4|320.19|STEVENSON HOMES CONSTRUCTION CO INC
HBW|NJ122268|44887|20150209|1813|Dublin Road|48|Skillman|1084000|101|C|0||15|16007|EAST COUNTRY DEVELOPMENT ASSOCIATES LLC
HBW|NJ122323|44887|20150227|1813|Riley Court|11|Skillman|918000|101|C|0||9.03|16002|EAST COUNTRY DEVELOPMENT ASSOCIATES LLC
HBW|NJ122326|44887|20150227|1813|Galway Road|11|Skillman|911000|101|C|0||29|16003|EAST COUNTRY DEVELOPMENT ASSOCIATES LLC
HBW|NJ122325|44887|20150227|1813|Liam Place|10|Skillman|1084000|101|C|0||15|16003|EAST COUNTRY DEVELOPMENT ASSOCIATES LLC
HBW|NJ122324|44887|20150227|1813|Galway Raod|38|Skillman|862000|101|C|0||9.13|16002|EAST COUNTRY DEVELOPMENT ASSOCIATES LLC
HBW|NJ122322|44887|20150227|1813|Galway Road|37|Skillman|850000|101|C|0||9.10|16002|EAST COUNTRY DEVELOPMENT ASSOCIATES LLC
HBW|NJ122319|44907|20150227|423|W LINCOLN AVE|128|MAGNOLIA|175000|101|C|0||12|2.04|RBE DEVELOPMENT LLC
HBW|NJ122310|44908|20150223|116|Monmouth Ave|9505|Margate|520000|105|C|0||429|56 & 60|MAINLINE GENERAL CONTRACTING AND
HBW|NJ122349|44911|20150220|1517|McKinely|113|Holgate|456500|101|M|0||1.08|1.09|CIRCUL CUSTOM BUILDERS LLC
HBW|NJ122558|44924|20150408|115|N. 32nd Avenue|22|Longport|1300000|101|C|0||14|75|JTWD HOLDINGS LLC
HBW|NJ122463|44978|20150331|1411|WILLOW WAY|1|FLORHAM PARK|950000|101|C|0||8|1904|S 3 CONSTRUCTION LLC
HBW|NJ122030|44985|20150123|309|Edgewood Ave|209|Delanco|339000|101|C|0||1.02|1005|JRB PROPERTY GROUP LLC
HBW|NJ122451|44985|20150312|331|linden ave|603|Riverton|311000|101|C|0||9|1000|JRB PROPERTY GROUP LLC
HBW|NJ122336|45008|20150331|252|Lozier Terrace|140|River Edge|900000|101|C|0||10|1209|ROMEL FERMANO
HBW|NJ122025|45048|20150303|721|McNish Way (#701)|43|West Caldwell|584604|105|C|0||25, Q43|1600|AMERICAN PROPERTIES AT WEST CALDWELL LLC
HBW|NJ122026|45048|20150306|721|McNish Way (#707)|37|West Caldwell|557216|105|C|0||25, Q37|1600|AMERICAN PROPERTIES AT WEST CALDWELL LLC
HBW|NJ122450|45048|20150323|721|McNish Way (#401)|19|West Caldwell|510000|105|C|0||25, Q19|1600|AMERICAN PROPERTIES AT WEST CALDWELL LLC
HBW|NJ122028|45048|20150202|721|McNish Way (#705)|39|West Caldwell|590424|105|C|0||25, Q39|1600|AMERICAN PROPERTIES AT WEST CALDWELL LLC
HBW|NJ122027|45048|20150226|721|McNish Way (#703)|41|West Caldwell|543635|105|C|0||25, Q41|1600|AMERICAN PROPERTIES AT WEST CALDWELL LLC
HBW|NJ121972|45069|20150115|1514|ALBERT AVE|752|LAKEWOOD|599000|101|C|0||65.02|1159|ACCURATE BUILDERS LLC
HBW|NJ121975|45069|20150115|1514|ALBERT AVE|748|LAKEWOOD|599000|101|C|0||66.02|1159|ACCURATE BUILDERS LLC
HBW|NJ122573|45069|20150501|1514|Kielt Way|7|Lakewood|479000|103|C|0||3.09|443|ACCURATE BUILDERS LLC
HBW|NJ122572|45069|20150401|1514|Kielt Way|4|Lakewood|489000|103|C|0||3.02|443|ACCURATE BUILDERS LLC
HBW|NJ122571|45069|20150401|1514|Kielt Way|2|Lakewood|479000|103|C|0||3.01|443|ACCURATE BUILDERS LLC
HBW|NJ122556|45069|20150401|1514|Kielt Way|10|Lakewood|479000|103|C|0||3.05|443|ACCURATE BUILDERS LLC
HBW|NJ122555|45069|20150401|1514|Kielt Way|8|Lakewood|479000|103|C|0||3.04|443|ACCURATE BUILDERS LLC
HBW|NJ122554|45069|20150501|1514|Kielt Way|9|Lakewood|479000|103|C|0||3.08|443|ACCURATE BUILDERS LLC
HBW|NJ122553|45069|20150401|1514|Kielt Way|12|Lakewood|479000|103|C|0||3.06|443|ACCURATE BUILDERS LLC
HBW|NJ122548|45069|20150501|1514|Kielt Way|1|Lakewood|460000|103|C|0||3.12|443|ACCURATE BUILDERS LLC
HBW|NJ122577|45069|20150501|1514|Kielt Way|5|Lakewood|479000|103|C|0||3.10|443|ACCURATE BUILDERS LLC
HBW|NJ122576|45069|20150501|1514|Kielt Way|3|Lakewood|479000|103|C|0||3.11|443|ACCURATE BUILDERS LLC
HBW|NJ122574|45069|20150501|1514|Kielt Way|11|Lakewood|474000|103|C|0||3.07|443|ACCURATE BUILDERS LLC
HBW|NJ122367|45093|20150306|1530|Florence Lane|55|Manahawkin|217250|101|M|0||13|147.60|KPS SONS CARPENTRY LLC
HBW|NJ122533|45097|20150327|1514|Clayton Court|9|Lakewood|592000|101|C|0||13.14|11.05|WESTLEY HILLS LLC
HBW|NJ122534|45097|20150327|1514|Clayton Court|5|Lakewood|588000|101|C|0||13.15|11.05|WESTLEY HILLS LLC
HBW|NJ122151|45097|20150326|1514|Jule Court|33|Lakewood|649700|101|C|0||13.08|11.05|WESTLEY HILLS LLC
HBW|NJ122035|45097|20150327|1514|Jule Court|37|Lakewood|515000|101|C|0||13.07|11.05|WESTLEY HILLS LLC
HBW|NJ122036|45097|20150223|1514|Clayton Court|28|Lakewood|541000|101|C|0||13.10|11.05|WESTLEY HILLS LLC
HBW|NJ122208|45136|20150212|509|Boardwalk Unit 102|4200|Sea Isle City|680000|105|C|0||13 & 14|42.01|CAPE ISLAND ARTISANS
HBW|NJ122049|45145|20150122|1530|White Cap Avenue|1027|Manahawkin|314900|101|C|0||12|44.28|TYLER NINE LLC
HBW|NJ122415|45145|20150306|1530|Brigantine Road|128|Manahawkin|307500|101|C|0||33|44.199|TYLER NINE LLC
HBW|NJ122575|45145|20150409|1516|Darryl Drive|156|Little Egg Harbor|275000|101|C|0||10.10|172|TYLER NINE LLC
HBW|NJ122547|45145|20150401|1348|YORK AVE|115|SPRING LAKE|2678500|101|C|0||11|7|TYLER NINE LLC
HBW|NJ121912|45165|20150202|1810|HOLECOMB DRIVE|21|HILLSBOROUGH|743442|101|C|0||37|205.21|COUNTRY CLASSICS IV LLC
HBW|NJ121913|45165|20150204|1810|LUCAS DRIVE|36|HILLSBOROUGH|745418|101|C|0||97|205.15|COUNTRY CLASSICS IV LLC
HBW|NJ122193|45165|20150313|1816|HOLECOMB DRIVE|22|HILLSBOROUGH|916213|101|C|0||30|205.19|COUNTRY CLASSICS IV LLC
HBW|NJ122195|45165|20150325|1810|MILLER DRIVE|10|HILLSBOROUGH|950945|101|C|0||18|205.22|COUNTRY CLASSICS IV LLC
HBW|NJ122539|45165|20150506|810|MILLER DRIVE|5|HILLSBOROUGH|852798|101|C|0||21|205.21|COUNTRY CLASSICS IV LLC
HBW|NJ122538|45165|20150501|1810|MILLER DRIVE|7|HILLSBOROUGH|755424|101|C|0||20|205.21|COUNTRY CLASSICS IV LLC
HBW|NJ122196|45165|20150327|1810|MILLER DRIVE|9|HILLSBOROUGH|975591|101|C|0||19|205.21|COUNTRY CLASSICS IV LLC
HBW|NJ122194|45165|20150320|1810|BERNART COURT|17|HILLSBOROUGH|851366|101|C|0||12|205.22|COUNTRY CLASSICS IV LLC
HBW|NJ122179|45182|20150206|322|North Church Street|1111|Moorestown|356500|101|C|0||8|3902|KAUFMAN PROPERTIES LLC
HBW|NJ122338|45261|20150217|329|BLUEBIRD STREET|101|BROWNS MILLS|199900|101|C|0||33|23|J & K TOTAL CONSTRUCTION LLC
HBW|NJ122266|45301|20150306|1404|LINCOLN CIR|11|CHATHAM|2860000|101|C|0||51|83|R FERNANDES HOMES LLC
HBW|NJ122139|45322|20150316|1514|Sanztown Road|43|Lakewood|373000|101|C|0||14|11.24|EASTGATE  LLC
HBW|NJ122508|45354|20150320|1613|Red Oak Court|25|Haskell|136744|102|C|0||12.05|432.01|GREENTREE AT WANAQUE LLC
HBW|NJ122501|45360|20150401|1514|SPRUCE ST|43|LAKEWOOD|509000|103|C|0||61.02|778.06|GEFEN CONSTRUCTION AND DEVELOPMENT LLC
HBW|NJ122503|45360|20150401|1514|Spruce|45|Lakewood|499000|103|C|0||61.01|778.06|GEFEN CONSTRUCTION AND DEVELOPMENT LLC
HBW|NJ122346|45446|20150304|2020|LINDEN AVE|316|WESTFIELD|1289000|101|C|0||8.02|2206|MONARCH HOMES HOLDINGS LLC
HBW|NJ122347|45446|20150313|2020|LINDEN AVE|312|WESTFIELD|1299000|101|C|0||2206|8.02|MONARCH HOMES HOLDINGS LLC
HBW|NJ122020|45471|20150123|1425|Park Place|3|Mountain Lakes|850000|102|C|0||18.03|88|HORNROCK PROPERTIES MOUNTAIN LAKES LLC
HBW|NJ121642|45473|20141230|1808|Liam Street|14|Somerset|243485|102|C|0||350|171.02|REDEV GROUP LLC
HBW|NJ121917|45473|20150126|1808|Alfred Avenue|24|Somerset|270715|102|C|0||332|171.02|REDEV GROUP LLC
HBW|NJ121916|45473|20150212|1808|Alfred Avenue|22|Somerset|260495|102|C|0||331|171.02|REDEV GROUP LLC
HBW|NJ121915|45473|20150205|1808|Alfred Avenue|20|Somerset|265965|102|C|0||330|171.02|REDEV GROUP LLC
HBW|NJ121914|45473|20150309|1808|Alfred Avenue|18|Somerset|277320|102|C|0||329|171.02|REDEV GROUP LLC
HBW|NJ121781|45473|20150108|1808|Ronald Drive|33|Somerset|254060|102|C|0||279|171.02|REDEV GROUP LLC
HBW|NJ121780|45473|20150115|1808|Ronald Drive|37|Somerset|257295|102|C|0||277|171.02|REDEV GROUP LLC
HBW|NJ121779|45473|20150112|1808|Ronald Drive|31|Somerset|240235|102|C|0||280|171.02|REDEV GROUP LLC
HBW|NJ121778|45473|20141230|1808|Ronald Drive|27|Somerset|272555|102|C|0||282|171.02|REDEV GROUP LLC
HBW|NJ121777|45473|20141224|1808|Ronald Drive|29|Somerset|257040|102|C|0||281|171.02|REDEV GROUP LLC
HBW|NJ121776|45473|20141230|1808|Ronald Drive|35|Somerset|256757|102|C|0||278|171.02|REDEV GROUP LLC
HBW|NJ121643|45473|20141230|1808|Liam Street|16|Somerset|241130|102|C|0||351|171.02|REDEV GROUP LLC
HBW|NJ121644|45473|20150107|1808|Liam Street|18|Somerset|257835|102|C|0||352|171.02|REDEV GROUP LLC
HBW|NJ122055|45473|20150226|1808|Liam Street|28|Somerset|267545|102|C|0||356|171.02|REDEV GROUP LLC
HBW|NJ122054|45473|20150219|1808|Liam Street|26|Somerset|256614|102|C|0||355|171.02|REDEV GROUP LLC
HBW|NJ122053|45473|20150212|1808|Liam Street|24|Somerset|276771|102|C|0||354|171.02|REDEV GROUP LLC
HBW|NJ122052|45473|20150213|1808|Liam Street|22|Somerset|279665|102|C|0||353|171.02|REDEV GROUP LLC
HBW|NJ121901|45473|20150122|1808|Liam Street|8|Somerset|259540|102|C|0||348|171.02|REDEV GROUP LLC
HBW|NJ121900|45473|20150129|1808|Liam Street|6|Somerset|241515|102|C|0||347|171.02|REDEV GROUP LLC
