BUILDER_REGNO|COMPANY_NAME|STREET_1|STREET_2|CITY|STATE|ZIP|BUILDER_STATUS|RENEWAL_DATE|PLAN
00042|TECORE INC|335 RHODE ISLAND AV||CHERRY HILL|NJ|08002|E|19850430|H
00043|SCHAEFFER CONSTRUCTION CO INC|P.O. BOX A||LINDENWOLD|NJ|08021|E|19810430|H
00044|J MIDDLESEX BUILDERS INC|113 MOUNTAIN AVENUE||MIDDLESEX|NJ|08846|E|19950430|H
00045|DAVE JACKSON HOMES INC|20 WOODMERE DRIVE||SUMMIT|NJ|07901|E|20030430|R
00046|VALCANNA INC|290 HAMILTON AV||BERKELEY HTS|NJ|07922|E|19810430|H
00047|GIFFORD DEVELOPMENT CO|398 STUYVESANT AV||IRVINGTON|NJ|07111|E|19830430|H
00048|HICKORY HILL HOMES INC|UNDELIVERABLE|DO NOT REMAIL|HIGH BRIDGE|NJ|08829|E|19930430|*
00049|GEORGIAN HOMES INC|50 LOWERY LANE||MENDHAM|NJ|07945||20150430|R
00050|ST CLOUD RIDGE INC|160 WENTZ AV||SPRINGFIELD|NJ|07081|E|19850430|H
00051|LOM-RAN CORP|780 TOTOWA RD||TOTOWA|NJ|07512|E|19830430|H
00052|KOGENE BLDG & DEVELOPMENT CORP|199 MAIN ST|P O BOX 876|WOODBRIDGE|NJ|07095|E|20010430|*
00053|SKYVIEW HOMES|DILLER WAY BOX 443||RD #1 HAMPTON|NJ|08827|E|19810430|H
00054|CHARLES J MOREL JR BUILDERS INC|129 LITTLETON ROAD SUITE 310||PARSIPPANY|NJ|07045|E|19950430|H
00055|BORTONE BLDR INC|BOX 289A DAVIS RD||RR1 BRANCHVILLE|NJ|07826|E|19830430|H
00056|VIR-MAC HOMES|PO BOX 180A||SICKLERVILLE|NJ|08081|R|19850430|H
00057|HERITAGE MEWS INC|11 FURLER ST||TOTOWA|NJ|07512|E|19850430|H
00058|PARISI BUILDING & INVESTMENT CO INC|P O BOX 587||ANNANDALE|NJ|08801|E|20030430|A
00059|WARRINER'S CONSTRUCTION INC|127 SUMMIT AVENUE||EGG HARBOR TOWNSHIP|NJ|08234||20161031|*
00060|GROVELAND DEVELOPMENT COMPANY|1939 OAK TREE RD||EDISON|NJ|08817|E|19870430|H
00061|MARO BROS INC|9 FILBERT LN||UNION|NJ|07083|E|19810531|H
00062|GUNNAR & SAMUEL BUILDERS INC|BROOK LN||DOVER|NJ|07801|E|19810531|H
00063|A A J CONTRACTING|LUSARDI ARTHUR|18 SENECA TRAIL|DENVILLE|NJ|07834|E|19810531|*
00064|MANN ENTERPRISES INC|2126 KINGS HY||OCEAN|NJ|07712|E|19980930|A
00065|TARVES INC|32 HIGHLAND AVENUE||BEESLEYS POINT|NJ|08223|B|19950531|*
00066|MANLEX CONSTRUCTION LTD|408 55TH ST||OCEAN CITY|NJ|08226|E|19810531|*
00067|RAY-WAY INC|137 FERN ROAD||E BRUNSWICK|NJ|08816|E|19970531|
00068|BRANDYWINE INC|1926 WESTFIELD AV||SCOTCH PLAINS|NJ|07076|E|19810531|H
00069|BOOGERTMAN BUILDERS|HOWARD BOOGERTMAN|72 SUMMER ST|HAWTHORNE|NJ|07506|E|19810531|*
00070|THEODORE PHILIP HOUSING CORP|559 MCKENDIMEN ROAD||MEDFORD|NJ|08055|E|19970531|*
00071|LYNNE ROAD CORP|930 CLIFTON AV||PASSAIC|NJ|07013|E|19830531|H
00072|EDSCORP|PO BOX 146||CLIFTON|NJ|07015|E|19850531|H
00073|DONALD E SOOY INC|108 WOODS RD||ABSECON|NJ|08201|E|19890531|*
00074|POULTOT FRIELAND INC|BOX 450||LIVINGSTON|NJ|07039|E|19830531|H
00075|JAMES FRITZ|53 HOPKINS CORNER ROAD||SPARTA|NJ|07871|E|20070531|*
00076|JIMMORA CONSTRUCTION CO INC|P O BOX 99||LITTLE SILVER|NJ|07739|E|19910531|H
00077|COLONIAL PARK BLDRS|102 JOSEPH LN||MINE HILL DOVER|NJ|07801|E|19870531|*
00078|GAMBRICK CONSTRUCTION CO|33 HULSE LANDING RD||BRICKTOWN|NJ|08723|E|19810531|*
00079|GEORGE HAMILTON & SONS|P O BOX 2473||BRANCHVILLE|NJ|07826|E|20010531|*
00080|FRANLAND CONSTRUCTION CO INC|190 SOUTH MAIN RD||VINELAND|NJ|08360|E|19930531|
00081|IRACO INC|115 ROUTE 46 BLD A SUITE 3||MOUNTAIN LAKES|NJ|07046|E|19930531|H
00082|DOLY HOMES INC|27 MADISON AV RD #8||FLEMINGTON|NJ|08822|E|19810531|H
00083|MEAKINS ENTERPRISES INC|1 FOX CHASE DRIVE||BLACKWOOD|NJ|08012|E|19810531|H
00084|MEAKINS CORP|1 FOX CHASE DRIVE||BLACKWOOD|NJ|08012|R|19830531|H
00085|JEFFROE ESTATES INC|26 LINDEN AV||SPRINGFIELD|NJ|07081|E|19870531|H
00086|LENDREW INC|100 DEVON ROAD||COLONIA|NJ|07067||20150531|*
00087|AL LINZER INC|LANDMARK TWO APT 307||CHERRY HILL|NJ|08034|E|19910531|H
00088|CARLTON H SPRAGUE|16 RIDGEWOOD AV||NEWTON|NJ|07860|E|19850531|H
00089|ARLIN CONSTRUCTION CO INC|PO BOX 802||LAKEWOOD|NJ|08701|E|19870531|*
00090|BISIRRI CONSTRUCTION CO INC|516 CREEK RD||MOORESTOWN|NJ|08057|E|19830531|H
00091|ADAMO HOMES INC|1 SEARS DRIVE|PARAMUS NJ|OLD TAPPAN|NJ|07675|E|19861231|H
00092|RAVIKIO DEVELOPMENT CO|231 HAINES DRIVE||MOORESTOWN|NJ|08057|E|19960331|H
00093|DAVID W PORTER INC|5 THROPP RD||FORKED RIVER|NJ|08731|E|19930531|H
00094|HERB-ART CONSTRUCTION CO INC|PO BOX 8300||PISCATAWAY|NJ|08855|E|20030531|*
00095|FARWOOD HOMES INC|43 CHESTNUT ST|P O BOX 2015|HADDONFIELD|NJ|08033|E|19970531|*
00096|BLUE HILL DEVELOPERS INC|100 E PROSPECT ST||PARAMUS|NJ|07552|E|19810531|H
00097|J NESTICO & SONS|58 JOHN RYLE AV||HALEDON|NJ|07508|E|19810531|*
00098|D & Y BUILDERS INC|7 GREENWOOD RD||MORRIS PLAINS|NJ|07950|E|19970531|*
00099|MON-TOW BROOK LAND CORP|171 U S HWY 202 AT RIVER RD||MONTVILLE|NJ|07045|E|19910630|H
00100|MAC GRO CONSTRUCTION CO INC|84 CONVENTRY RD||NEW FOUNDLAND|NJ|07455|E|19810531|*
00101|DONDOL INC|7 CARTER ST||TOMS RIVER|NJ|08753|E|19810531|*
00102|REYNEN CONSTRUCT CO|161 COTTAGE RD.||WYCKOFF|NJ|07481|E|19810531|*
00103|MANITOU ASSOC|223 N 8TH ST||BROOKLYN|NY|11211|E|19870531|H
00104|U S HOME|COR. BENIGNO BLVD. & HELLER RD||BELLMAWR|NJ|08031|E|19810531|H
00105|COMSTOCK BUILDERS INC|15 GRIFFIN ST||E BRUNSWICK|NJ|08816|E|19930531|H
00106|TULLCO DEVELOPERS INC|65 HAINES DR||BLOOMFIELD|NJ|07003|E|19810531|H
00107|DESIGN BLDR INC/PAUL B SOLONDZ|61 S ORANGE AV||S ORANGE|NJ|07079|E|19810531|*
00108|EUR-AM FINANCIAL CORP|BROAD ST. & STATE HWY 34||MATAWAN|NJ|07747|E|19830531|*
00109|PAT O'HARA INC|79 RECTOR ST||MILLBURN|NJ|07041|E|19830531|H
00110|FITZER REALTY & CONSTRUCTION|159 GLEN RD.||WOODCLIFF LAKE|NJ|07675|E|19810531|H
00111|JAYNAR CONSTRUCTION INC|1000 EASTPARK BLVD||CRANBURY|NJ|08512|E|19970531|*
00112|WILLIAM KURTZ & SON INC|51 MAIN STREET||PORT REPUBLIC|NJ|08241|E|20130531|*
00113|KELJED CORP|1 MADISON ST||E RUTHERFORD|NJ|07073|E|19890831|H
00114|WINTERGREEN INC|2029 MORRIS AVE||UNION|NJ|07083|E|19830531|H
00115|KAPLAN & SONS CONSTR CORP|3100 WOODBRIDGE DR|CN 2910|EDISON PARK|NJ|08818|E|19911031|A
00116|HOMES BY BRINKERHOFF|162 ROCK RD WEST||GREEN BROOK|NJ|08812|E|19870531|H
00117|WILLIAM BUCCI BLDR INC|820 STATE RD||PRINCETON|NJ|08540|E|19830531|H
00118|OTTO BUILDER INC|1614 US HWY 9 SOUTH||HOWELL|NJ|07731|E|20030531|*
00119|CARL F JACOBELLI CO|1650 PENNINGTON ROAD||TRENTON|NJ|08618|E|20030531|
00120|ROSEWOOD HOMES INC|205 E MAPLE AVE.||MOORESTOWN|NJ|08057|E|19810531|H
00121|SUTTER PARK HOMES DEVELOP CORP|CHARLES J MUSS|33-35 81ST STREET|JACKSON HTS.|NY|11372|E|19810531|H
00122|DAPP BUILDER INC|1180 KARIN STREET||VINELAND|NJ|08360|E|19950531|*
00123|JOHN D PITTENGER BUILDER INC|2240 HIGHWAY 33  SUITE 111||NEPTUNE|NJ|07753||20150531|R
00124|SHORTRIDGE CONSTRUCTION|2 CEDAR ST.||MATAWAN|NJ|07747|E|19810531|*
00125|CARCO CONST INC|1240 SUSSEX TURNPIKE||RANDOLPH|NJ|07869|E|20010531|A
00126|J & R BLDG CONTRACTORS INC|114 CYRIL AVE||PROSPECT PARK|NJ|07508|E|19850531|*
00127|CORBOY & MORRIS|31 TAHOE||NEW HOPE|PA|18938|E|19810531|*
00128|DELILAH OAKS CONSTRUCTION CO INC|604 KINGSLEY DRIVE||VENTNOR|NJ|08406|E|20041031|A
00129|D C A OF NEW JERSEY INC|PO BOX 778||FORKED RIVER|NJ|08731|E|19830531|H
00130|C W CHRISTIE INC|56 ETON CT||RAMSEY|NJ|07446|E|19870531|H
00131|DE CENZO BLDR INC|2 FAIRVIEW AVENUE||LITTLE SILVER|NJ|07446|E|20110131|*
00132|CEDAR MANOR ESTATES|PO BOX 48||BUDD LAKE|NJ|07828|E|19830531|H
00133|BALDER CONSTRUCTION CO|194B KINDERKAMACK RD|PO BOX 159|PARK RIDGE|NJ|07656|E|20030531|*
00134|S & S CONSTRUCTION CO|MANUEL SELENGUT|131 LANDING RD.|LANDING|NJ|07850|E|19870531|H
00135|SAUL FLAME CORP|484 HARRISON AVE.||HIGHLAND PARK|NJ|08904|E|19870531|H
00136|ROBERT WHYTE BLDR INC|LAKE POCHUNG RD||VERNON|NJ|07461|E|19810531|H
00137|S G A BUILDING CORPORATION|255 ORIENT WAY||RUTHERFORD|NJ|07070|E|20070531|*
00138|SIGMA CONST CO INC|PO BOX 99|1181 MAIN STREET|RAHWAY|NJ|07065|E|19850531|H
00139|BARLO BUILDER & DEVELOPER INC|10 DRUMM COURT||RAMSEY|NJ|07446|E|20070531|R
00140|ENERGY SAVER HOMES INC|225 ROUTE 23 NORTH||HAMBURG|NJ|07419|E|19810531|*
00141|SCARBOROUGH CORPORATION|ATT ETHEL FOLEY|PO BOX 387|MARLTON|NJ|08053|E|19950531|H
00142|HEDY HEIGHTS CONSTRUCTION CO|1122 CLIFTON AVENUE||CLIFTON|NJ|07013|E|19990531|*
00143|MURRAY HILL DEVELOPERS|101 PARK DR.||BERLIN|NJ|08009|E|19850531|H
00144|FRED A BROWN JR|201 BEERS STREET||PHILLIPSBURG|NJ|08865|E|19890531|*
00145|LANDEX CORPORATION|CORPORATION|305 WOODLAND RD.|PT. PLEASANT BEACH|NJ|08742|E|19810531|*
00146|RHELL CONSTRUCTION CO INC|ELLIOTT SCHECHTER  PRES.|59 BRIAR HILLS CIRCLE|SPRINGFIELD|NJ|07081|E|19830531|H
00147|DEB ASSOCIATES|15 CIVIC CENTER DRIVE||E BRUNSWICK|NJ|08816|E|19930531|
00148|HILLCREST BUILDERS INC|33 HILLCREST DR||DENVILLE|NJ|07834|E|19930531|*
00149|A M I INC|4 ETHEL RD SUITE 405A||EDISON|NJ|08817|E|19930531|H
00150|A & A CONSTRUCTION CORP|2109 ST GEORGE AVE||RAHWAY|NJ| |E|19810531|H
00151|CLEARWATER VILLAGE INC|2109 ST. GEORGE AVE.||RAHWAY|NJ|07065|E|19830531|H
00152|PEMBROOKE HOMES INC|2109 ST GEORGE AVE||RAHWAY|NJ|07065|E|19830531|H
00153|RAVEN CONSTRUCTION INC|P O BOX 366||BEDMINSTER|NJ|07921||20160731|*
00154|DONALD CRANMER|10 S DELAWARE AVE||BEACH HAVEN|NJ|08008|E|19930531|*
00155|COUNTRYWIDE DEVELOPMENT CORP|270 HWY #35||MIDDLETOWN|NJ|07748|S|19830531|H
00156|L P C VILLAGE HARBOUR INC|PO BOX 757||MANAHAWKIN|NJ|08050|E|19890531|H
00157|MIKE REISCHMANN GENERAL CONTRACTOR|18 ANN ST. PO BOX 205||BERNARDSVILLE|NJ|07924|E|19830531|*
00158|HANROW INC|123 OLD STIRLING RD||WARREN|NJ|07059|E|19950531|H
00159|MUENTENER BUILDER INC|ROUTE 518 PO BOX 278||HOPEWELL|NJ|08525|E|19890531|*
00160|HOME SOCIETY CORP|1977 ROUTE 46||LEDGEWOOD|NJ|07852|E|19830531|*
00161|LOU FIORE & SONS INC|100 INDEPENDENCE LN||MT LAUREL|NJ|08054|E|19990531|*
00162|K A T BUILDER INC|PO BOX 6783||BRIDGEWATER|NJ|08807|E|20100731|*
00163|MARBERG DEVELOPERS INC|59 E. NEWMAN SPRING RD||SHREWSBURY|NJ|07701|E|19830531|H
00164|BAYVIEW HOMES INC|8 ARGO LANE||NORTHFIELD|NJ|08225|E|20010531|A
00165|TIMBERWICK BUILDERS INC|1538 LAGUNA DRIVE||POINT PLEASANT|NJ|08742|E|19900228|H
00166|JOSEPH ESPOSITO BUILDERS INC|PO BOX 1120||TURNERSVILLE|NJ|08012|E|19810531|H
00167|NEARO CONSTRUCTION CO|7 EMMA PL||PISCATAWAY|NJ|08854|E|19850531|H
00168|MULCAHY REALTY & CONSTRUCTION CO|BOX 314||GLADSTONE|NJ|07934|E|19950531|
00169|PHARO BLDR|HAROLD H PHARO|20 DADDY TUCKER DR|TUCKERTON|NJ|08087|E|19850531|*
00170|KIHADE BLDR INC|TUCKERTON RD||MEDFORD|NJ|08055|R|19830531|H
00171|STRATTON CONSTRUCTION CO|11 NARUMSON STREET||RUMSON|NJ|07760|E|20030531|*
00172|ALRED CONSTRUCTION CO INC|18 WALNUT AVENUE||BLUE ANCHOR|NJ|08037|E|19900930|*
00173|BRUCE G KERR BLDR INC|409 CAMDEN AV||MOORESTOWN|NJ|08057|E|19890531|*
00174|HAMILTON WOODS JV|111 COOLIDGE AVE||BELLMAWR|NJ|08031|E|19910531|H
00175|THE BLAIRE WOODS PARTNERSHIP|560 BENIGNO BLVD||BELLMAWR|NJ|08031|E|19850531|H
00176|GODFREY DEFALLOT|RD 5 BOX 332A||HAMMONTON|NJ|08073|E|19830831|H
00177|KAMPF BUILDERS INC|141 OLD SHORE HILLS RD||W ORANGE|NJ|07052|E|19870531|H
00178|SKYTOP BUILDING CORP|130 DAVIDSON AV||SOMERSET|NJ|08873|E|19850531|H
00179|M TURRIN INC|1160 HAMBURG TPK||WAYNE|NJ|07470|E|19810531|H
00180|A C K CONSTRUCTION CO|PO BOX 1077||MONROEVILLE|NJ|08343||20150531|*
00181|EVERGREEN HOMES INC|HANDS MILL RD||BELLEPLAIN|NJ|08270|E|19810531|H
00182|JER NAT BLDG CORP|PO BOX 150||HILLSIDE|NJ|07205|E|19870531|*
00183|PRECISION HOMES INC|TAUNTON AT TUCKERTON RD||MEDFORD|NJ|08055|E|19810531|H
00184|KENDALL HOMES INC|BARTLEY SQUARE 268 RT 206||FLANDERS|NJ|07836|E|19910531|*
00185|ASENITH HOMES INC|PO BOX 363||FRANKLINVILLE|NJ|08322|E|19870630|*
00186|LOBB BROTHERS INC|RD 3 BOX 420 B COLE RD.||FLEMINGTON|NJ|08822|E|19850531|H
00187|L N P INC|155 104TH STREET||STONE HARBOR|NJ|08247|E|19850531|*
00188|OAKWOOD BLDRS INC|BOX 89A COLTS NECK RD||FARMINGDALE|NJ|07727|E|19850531|*
00189|JOSEPH & JEAN IARUSSI|1009 BRAINARD PL||BRIELLE|NJ|08730|E|19880430|H
00190|VINCENT JAMES LUPO|629 CAMPGAW RD||MAHWAH|NJ|07430|E|19971231|*
00191|AMERICAN ESTATES INC|4331 BERGENLINE AV||UNION CITY|NJ|07087|E|19830531|H
00192|JOHN J SHERIDAN INC|PO BOX 2506||CHERRY HILL|NJ|08034|E|19910531|*
00193|SUNRISE AT HILLSBOROUGH|52 WESTFIELD AVE. E SUITE C-4||ROSELLE PARK|NJ|07204|E|19830531|H
00194|SPADER JOSEPH A|123 TRENTON AVE||PT PLEASANT BEACH|NJ|08742|E|19890531|*
00195|DEBAL BUILDERS CORPORATION|163 PARK AVENUE||PARK RIDGE|NJ|07656|E|19930531|H
00196|WEST HILL RIDGE INC|87 WEST HILL RD.||WOODCLIFF LAKE|NJ|07675|E|19810531|H
00197|R W B BUILDERS INC|79 MOUNT KIPP ROAD||GLEN GARDNER|NJ|08826|E|20020430|*
00198|2 W BUILDERS|RD 4 66 GROVE STREET||CHESTER|NJ|07930|E|19881031|*
00199|TROTTER WAYNE|67 WHITE ST||SHREWSBURY|NJ|07701|E|19810531|*
00200|MELCO HOMES INC|47 E MAIN ST||CHESTER|NJ|07930|E|19810531|*
00201|MICHAEL S LISCHIN|5 ASHBRIDGE LN||LINWOOD|NJ|08221|E|19930930|*
00202|E A GARG INC|1301 N BAY AVENUE||BEACH HAVEN|NJ|08008|E|19810531|H
00203|SEALTITE CONST CO INC|10 ILENE LN||ATCO|NJ|08004|E|19810531|H
00204|ROBERT FARLEY|RT 46||NETCONG|NJ|07857|E|19830930|H
00205|JIM GETZINGER BLDR INC|63 E RT 40||WOODSTOWN|NJ|08098|E|19850930|H
00206|GATLIF BLDR INC|PO BOX 238||MIDDLETOWN|NJ|07748|E|19850930|H
00207|BRE VINE CONSTRUCTION CO INC|1072 SADDLEBROOK RD||MOUNTAINSIDE|NJ| |E|19870930|H
00208|CUSTOM LIVING HOMES INC|415 ROUTE 24||CHESTER|NJ|07930|E|19980228|
00209|SUTTON CONSTRUCTION CO|7 RIDGEDALE AV||CEDAR KNOLLS|NJ|07927|E|19810531|*
00210|WOOD UNITED BUILDERS INC|122 AVON AVENUE||S PLAINFIELD|NJ|07080|E|19930930|H
00211|ORLEANS CONSTRUCTION CO-OPERATIONS|2507 PHILMONT AV||HUNTINGDON VALLEY|PA|19006|E|19870930|H
00212|EPSTEIN & RICH|7 CHESTNUT HILL RD||N CALDWELL|NJ|07006|E|19950930|H
00213|MAPLETREE ENTERPRISES|570 14TH ST||LAKEWOOD|NJ|08701|E|19850930|H
00214|APPLIED HOUSING INC|59 13TH ST||HOBOKEN|NJ|07030|E|19850930|H
00215|STACIE ANN BUILDERS INC|281 MAIN STREET||WOODBRIDGE|NJ|07095|E|19910930|*
00216|GEORGE KROBATSCH|376 ROUTE 94||NEWTON|NJ|07860|E|19950531|*
00217|STERLING HOMES INC|2910 LINDBERG AVENUE||ALLENTOWN|PA|18103|E|19990930|*
00218|GERALD L SNOOK BUILDER|RD 2 BOX 559||NEWTON|NJ|07868|E|19890930|*
00219|NEW SHREWSBURY CONTRACTING CORP|20 AVENUE AT THE COMMON||SHREWSBURY|NJ|07701|E|19910930|H
00220|MILAN CORPORATION|P O BOX 8300||PISCATWAY|NJ|08855|E|19910930|
00221|AMERICAN STAIR BLDR INC|5 KIMBALL RD PO BOX 775||LAKEWOOD|NJ|08701|E|19870930|*
00222|U S HOME CORPORATION|RD2 RT 33 & HOWELL RD FAIRFLD||FREEHOLD|NJ|07728|E|19830930|
00223|HENRY A WEST & SON INC|11 ROUND HILL||HOLMDEL|NJ|07733|E|20131031|*
00224|SAMOS CONSTRUCTION CO INC|3104 JEFFERSON ST||BETHLEHEMN|PA|18017|B|19890930|*
00225|SOCIO CO INC|1382 SIOUX RD||NO BRUNSWICK|NJ|08902|S|19830930|*
00226|TRYLON CONSTRUCTION CO|40 ORISKANY PL PO BOX 2024||WAYNE|NJ|07470|E|19870930|H
00227|MARTONE INC|191 N WYOMING AV||S ORANGE|NJ|07079|E|19830930|*
00228|LARO HOMES INC|248 SETON HALL DRIVE||PARAMUS|NJ|07652|E|19890930|H
00229|MANCINI DEVELOPMENT CORP|3003 LONG BEACH BD||BEACH HAVEN GDNS|NJ|07652|E|19850930|*
00230|JACK POMERANTZ|34 CLIVE HILLS RD||SHORT HILLS|NJ|07078|E|19810531|H
00231|CARLTON VILLAGE INC|RT 94||HARDYSTON TWP|NJ| |E|19830930|H
00232|STRATFORD INVESTMENT CO INC|PO BOX 476||HEWITT|NJ|07421|E|19930930|
00233|ANTHONY F PETTOLINA JR|719 EDGEWATER AVENUE||WESTVILLE|NJ|08093|E|19910930|*
00234|INDIAN FOREST INC|564 OLD STAGE RD||E BRUNSWICK|NJ|08816|E|19850930|H
00235|STURWOOD HAMLET VILLAS INC|128 PIERRE AV||GARFIELD|NJ|07026|E|19830930|H
00236|TOCKS ISLAND HOMES INC|1208 SW 53RD STREET||CAPE CORAL|FL|33914|E|19930930|
00237|J J GANGLUFF INC|101 PARK DRIVE||BERLIN|NJ| |E|19890930|H
00238|J J & L CONSTRUCTION CO INC|PO BOX 86||NORTHFIELD|NJ|08225|E|19940331|
00239|ROBERT SOLITARE INC|1308 POPLAR||VOORHEES|NJ|08043|E|19850930|H
00240|RICHEL BUILDERS INC|PO BOX 534 NIELSON RD||SUSSEX TWP|NJ|07461|E|19850930|H
00241|J E O NEILL BUILDING CONTRACTORS|5 AVEUE F||KENDALL PARK|NJ|08824|E|19960930|*
00242|ATLANTIC NEPTUNE INC|322 SHORE RD||SOMERS POINT|NJ|08244|E|19810531|H
00243|TALLAKSEN & TALLAKSEN|95 DEVON RD||ESSEX FELLS|NJ|07021|E|19810531|H
00244|S J R CONSTRUCTION CO INC|90 NORTHFIELD AV||W ORANGE|NJ|07052|E|19830930|H
00245|EVAL HOMES INC|1/2-82 NOTTINGHAM VIG UNIT A B||MARROL TWP|NJ|08512|E|19830930|H
00246|ANTHONY J PAGANO CONSTRUCTION CO INC|720 S EGG HARBOR RD||ROSEDALE|NJ|08037|E|20120430|*
00247|CROSSROADS DEVELOPERS|123 YORK RD||JENKINTOWN|PA|19046|E|19850930|H
00248|GRILLI CONSTRUCTION INC|200 HARDING ROAD||RED BANK|NJ|07701|E|19950930|*
00249|HIGHLAND PROPERTIES INC|128 KETCHUM RD||HACKETTSTOWN|NJ|07840|E|19830930|H
00250|FRED MAZZEO CONTRACTOR INC|230 LOCUST AVENUE||GARWOOD|NJ|07027|E|19910930|*
00251|ECONOMY ENTERPRISES INC|35 PATTEN ST||FREEHOLD|NJ|07728|E|19870930|H
00252|DAVID SOBINE  SOBINE CONSTRUCTION INC|2467 RT 10 226B||MORRIS PLAINS|NJ|07950|E|19880228|*
00253|REGINA CONSTRUCTION CO INC|PO BOX 463||MARLTON|NJ|08053|E|19950228|H
